score,budget_x,revenue,country,top_genre,top_lang,year
low,0.16304347644139885,0.09290149747770846,AU,Drama, English,1.0000000000000018
low,1.0,0.7924171901679421,AU,Science Fiction, English,0.9916666666666689
high,0.21739130264650283,0.24778791867496738,AU,Animation, English,1.0000000000000018
high,0.026739128318998103,0.011697482474594045,AU,Animation, Spanish,1.0000000000000018
low,0.16739130253780718,0.11661294109875055,US,Action, English,1.0000000000000018
low,0.07608695451323251,0.027362532104313556,AU,Thriller, English,1.0000000000000018
high,0.21739130264650283,0.12017260315350187,AU,Action, English,1.0000000000000018
high,0.19565217216446124,0.1653656601246818,AU,Animation, English,0.9916666666666689
low,0.15434782424858223,0.0871997669850546,US,Action, English,0.9916666666666689
high,0.25913043317202267,0.16724064822240786,US,Action, English,1.0000000000000018
high,0.0002173891309073677,0.0010945012841725422,AU,Horror, English,1.0000000000000018
high,0.026086954404536854,0.14646290502258588,MX,Horror, Spanish,0.9916666666666689
high,0.0952173893374291,0.16743923056784096,AU,Comedy, English,1.0000000000000018
low,0.5434782598771266,0.2921090733490864,AU,Action, English,0.9916666666666689
low,0.19999999826086956,0.15809266310962553,AU,Horror, English,1.0000000000000018
high,0.16869565036672968,0.19226028403718864,GB,Drama, English,0.9916666666666689
high,0.04347825879017012,0.018685017068812513,AU,Thriller, English,1.0000000000000018
high,0.11752173721200378,0.16850066012758563,US,Horror, English,1.0000000000000018
high,0.23999999834782607,0.1088063607527688,other,Thriller, Spanish,1.0000000000000018
high,0.2684782592793006,0.14380038932135786,other,War, Norwegian,0.9916666666666689
low,0.17956521560775046,0.1618142359022521,AU,Animation, English,1.0000000000000018
low,0.05434782403119092,0.01744361421649989,GB,Action, English,1.0000000000000018
low,0.05434782403119092,0.2128509602079946,AU,Drama, English,0.8416666666666668
high,0.3168695637323251,0.11011190192758456,US,Animation, English,1.0000000000000018
low,0.2717391288516068,0.04518478390959817,AU,Action, English,1.0000000000000018
high,0.11752173721200378,0.16850066012758563,US,Horror, English,1.0000000000000018
high,2.173695656899338e-05,0.0061179522294421,US,Action, English,0.9916666666666689
low,0.4347826074669187,0.13382388739516865,AU,Action, English,0.9916666666666689
high,0.1489130416280718,0.09578678242940421,US,Documentary, English,1.0000000000000018
low,0.026086954404536854,0.05733955107290941,AU,Science Fiction, English,1.0000000000000018
low,0.4347826074669187,0.159387205093786,AU,Science Fiction, English,1.0000000000000018
high,0.16043478078355386,0.1266974475223796,other,Thriller, Spanish,1.0000000000000018
high,0.2456521722731569,0.1265501989289261,US,Action, English,1.0000000000000018
high,0.005391302185633266,0.0006469593670427384,ES,Drama, Spanish,0.9916666666666689
high,0.31899999851956523,0.10299378683156293,US,Horror, English,0.9916666666666689
low,0.0869565197542533,0.058672070815097746,AU,Action, English,0.9500000000000011
low,0.17782608516918713,0.1396540466685073,US,Horror, English,0.9916666666666689
low,0.25217391141776935,0.1294245308642395,AU,Action, English,1.0000000000000018
low,0.0348913022497637,0.001537557114163844,AU,Action, English,1.0000000000000018
low,0.11956521547731569,0.11174506742286272,AU,Action, English,0.9666666666666668
low,0.24652173749243855,0.26624833628194605,US,Animation, English,1.0000000000000018
low,0.006521736970699428,0.005513640173343474,AU,Thriller, English,0.9916666666666689
low,0.0021739108742911107,0.007795047449137761,US,Action, English,0.9916666666666689
high,0.3072608680592627,0.2560193161499473,US,Thriller, English,1.0000000000000018
high,0.006521736970699428,0.012570350669038161,AU,Drama, English,1.0000000000000018
low,0.059218052302647935,0.012879440909973349,US,Horror, English,0.9916666666666689
high,0.2499999983695652,0.16568506775037856,US,Crime, English,0.9916666666666689
high,0.05434782403119092,0.0045409828765048356,AU,Family, English,0.9916666666666689
low,0.21130434611153118,0.14561207953675437,US,Animation, English,0.9916666666666689
high,0.03434782398771266,0.17206370391767972,AU,Animation, Japanese,0.9833333333333325
high,0.2934782593336484,0.2292539606374229,MX,Drama, Spanish,1.0000000000000018
high,0.266086954926276,0.11770264477335658,other,Thriller, Spanish,0.9916666666666689
low,0.14399999813913042,0.19844285945320278,KR,Science Fiction, Korean,1.0000000000000018
high,0.10869565023629489,0.037272308854214474,AU,Comedy, English,1.0000000000000018
high,0.1127826154625709,0.0031682422643130675,AU,Comedy, English,1.0000000000000018
high,0.32608695505671076,0.05424576499470539,AU,Adventure, English,1.0000000000000018
high,0.26391304187807185,0.3344370619701969,AU,Fantasy, Norwegian,0.9916666666666689
high,0.19565217216446124,0.13866699127568172,AU,Action, English,0.9916666666666689
low,0.021739128308128536,0.005913008300513727,AU,Drama, English,0.7583333333333346
high,0.20695652001512285,0.1423261941178487,AU,Animation, Russian,1.0000000000000018
low,0.2760869549480151,0.1823736901242068,US,Music, English,0.9916666666666689
high,0.19478260694517957,0.10889465540267694,HK,Comedy, Cantonese,0.8833333333333346
high,0.36956521602079395,0.5066752501196918,AU,Action, English,0.9916666666666689
high,0.32043478113137996,0.1523842448036874,US,Drama, English,1.0000000000000018
high,0.0021739108742911107,0.03502910836084175,other,War,other,0.9916666666666689
low,0.002742539136396824,0.03489542282730172,AU,Action, English,0.9916666666666689
high,0.047130432711153115,0.0004201718603291616,IT,Crime, Italian,0.9916666666666689
low,0.07608695451323251,0.057212711371276564,AU,Horror, English,1.0000000000000018
high,0.5152173902504725,1.0,AU,Action, English,0.8833333333333346
high,0.1565217372967864,0.108779424597321,US,Crime, English,0.9916666666666689
low,0.3739130421172023,0.20328134693251818,GB,Thriller, English,1.0000000000000018
low,0.09782608499527409,0.019178402856293186,AU,Thriller, English,1.0000000000000018
low,0.5434782598771266,0.2602614880679526,AU,Fantasy, English,0.9916666666666689
low,0.3199999985217391,0.2985172481906702,US,Science Fiction, English,0.9916666666666689
low,0.0005434760881379916,0.004434366138286983,AU,Horror, English,0.9916666666666689
low,0.06521738927221171,0.02598031379506416,AU,Action, English,0.9249999999999989
high,0.4347826074669187,0.6532969553075033,AU,Action, English,0.9833333333333325
low,0.1130434763327032,0.18437356622255704,US,Action, English,0.9916666666666689
high,0.2499999983695652,0.16752014622690387,other,Animation, Russian,0.9916666666666689
low,0.07608695451323251,0.0278987235633929,AU,Animation, English,0.9916666666666689
high,0.24756521575557655,0.20688637189271233,MX,Animation, Spanish,0.9916666666666689
high,0.09478810716258285,0.02960699168460106,AU,Animation, Japanese,0.9916666666666689
low,0.24347825922495273,0.2005413373252732,US,Mystery, English,0.9916666666666689
low,0.14130434595935726,0.0,AU,Thriller, English,0.9916666666666689
low,0.25539130272911154,0.156595448218295,US,Action, English,0.9916666666666689
low,0.0499999979347826,0.0014745955857601671,US,Action, English,0.9916666666666689
low,0.2921739115047259,0.24489785697763586,US,Family, English,1.0000000000000018
low,0.09130434585066162,0.00712961796248663,AU,Action, English,0.7500000000000018
high,0.22734782440727788,0.08904897896188145,AU,Crime, English,1.0000000000000018
low,0.35869565077977317,0.3427082172727307,AU,Adventure, English,0.9916666666666689
high,0.11086956328449905,0.15567039529712282,US,Animation, English,0.9916666666666689
high,0.18478260692344045,0.1243503634657146,AU,Action, English,0.9666666666666668
high,0.21739130264650283,0.08426533612103997,other,Comedy, Spanish,0.9916666666666689
low,0.04347825879017012,0.11166639343924244,AU,Drama, German,0.9916666666666689
high,0.04347825879017012,0.02619949007144127,AU,Action, English,0.9916666666666689
high,0.05217391098298676,0.04749957340615339,AU,Horror, English,0.9916666666666689
high,0.03260869354914933,0.05918742803179488,AU,Horror, English,0.9916666666666689
low,0.19565217216446124,0.006840633026078389,AU,War, English,1.0000000000000018
low,0.10869565023629489,0.032279151241862925,AU,Action, English,0.9916666666666689
low,0.288043476713138,0.16049987653580874,AU,Horror, English,1.0000000000000018
high,0.1734782590727788,0.1325934632800186,other,Drama, English,1.0000000000000018
high,0.2913043462854442,0.10561478926198992,other,Science Fiction, English,0.9916666666666689
low,0.4347826074669187,0.32569108437443156,AU,Fantasy, English,0.9916666666666689
high,0.2965217376011342,0.06654750931515165,AU,Action, English,0.9916666666666689
high,0.6521739122873346,0.7006038691251102,AU,Adventure, English,0.9583333333333339
high,0.03695651964555765,0.07389584728379255,AU,Horror, English,0.9916666666666689
low,0.21760869395132323,0.3240642996848275,MX,Comedy, Spanish,1.0000000000000018
low,0.2917391288950851,0.26434460808543686,US,Action, English,1.0000000000000018
high,0.2934782593336484,0.023794076210588214,AU,Animation, English,0.9916666666666689
low,0.029347823976843095,0.029221107813251813,AU,Drama, English,0.4583333333333339
low,0.021739128308128536,0.000359785488228152,AU,Drama, English,0.4583333333333339
high,0.28043478104442343,0.22079243523781006,JP,Action, Japanese,0.9666666666666668
low,0.23913043312854443,0.0929194122747278,ES,Comedy, Spanish,0.9916666666666689
high,0.17391304168241964,0.3212361546092049,AU,Animation, English,0.9916666666666689
high,0.10869565023629489,0.07305506097417744,AU,Drama, English,0.9583333333333339
low,0.08043478060964082,0.059365606342256794,AU,Drama, English,0.9333333333333353
high,0.07826086756143667,0.020215368260146686,AU,Thriller, English,0.9916666666666689
high,0.739130434215501,0.0,US,Action, English,1.0000000000000018
high,0.2456521722731569,0.12518089279335776,AU,Action, Italian,0.9916666666666689
low,0.0869565197542533,0.03554167350476296,AU,Action, English,0.9833333333333325
high,0.010869563067107745,0.0020367772775524593,AU,Horror, English,0.9916666666666689
high,0.38043478126181474,0.003750367137629589,AU,Animation, English,0.9916666666666689
high,0.32608695505671076,0.07905056115241595,AU,Animation, English,0.9833333333333325
low,0.18869565041020794,0.09719995015668514,US,Family, English,0.9916666666666689
low,0.09782608499527409,0.01778564586780381,AU,Comedy, English,1.0000000000000018
high,0.10869565023629489,0.03681768961815589,AU,Comedy, English,0.9916666666666689
high,0.03295801746295221,8.140353301033282e-06,AU,Drama, English,0.9833333333333325
low,0.0869565197542533,0.05781153251965149,AU,Drama, English,0.9416666666666682
high,0.013043476115311904,0.002674167283055017,ES,Drama, Spanish,0.9916666666666689
high,0.2252173896200378,0.04588360505708381,US,Horror, English,0.9916666666666689
low,0.047469078364063215,0.0669940422389101,AU,Animation, Japanese,0.9916666666666689
low,0.4347826074669187,0.2621079924538214,AU,Crime, English,0.9916666666666689
high,0.19565217216446124,0.21474495254195572,US,Drama, English,0.9749999999999996
